recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc
lingxiao,凌霄宝殿,,lingxiao,凌霄宝殿,天庭,地点,天庭正殿,天庭正殿，玉皇大帝临朝理政之所
yuhuang,玉皇大帝,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·帝君,昊天金阙至尊玉皇上帝,三界之主，天庭行政系统最高长官
wangmu,王母娘娘,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·后妃,瑶池金母·蟠桃掌管者,住在瑶池，掌管蟠桃园和蟠桃胜会
sanqing,三清,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·至尊,道教三清,道统至尊，超越行政权力
yuanshi,元始天尊,sanqing,lingxiao,凌霄宝殿,天庭,天仙·至尊,玉清元始天尊,道教第一神，开天辟地之祖
lingbao,灵宝天尊,sanqing,lingxiao,凌霄宝殿,天庭,天仙·至尊,上清灵宝天尊,三清体系的第二位
taishang,太上老君,sanqing,lingxiao,凌霄宝殿,天庭,天仙·至尊,道德天尊·太上道祖,道教创始人，住在离恨天兜率宫
tiansi,四大天师,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·天师,四大天师,在凌霄殿传达玉帝旨意
zhangdaoling,张道陵,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,天师道祖·四大天师之首,道教创始人之一，四大天师之首
gehong,葛洪,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,抱朴子·四大天师之二,晋代著名道士、炼丹家
xuxun,许逊,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,净明道祖·四大天师之三,晋代道士，传说曾斩蛟除妖
qiuhongji,邱弘济,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,四大天师之四,四大天师中最年轻的一位
taibai,太白金星,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·文臣,李长庚·玉帝殿前文臣,天庭中最有职场智慧的神仙，两次建议招安悟空
wujiang,武将系统,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·武将,天庭武将,天庭军事力量
lijing,托塔天王李靖,wujiang,lingxiao,凌霄宝殿,天庭,天仙·武将,降魔大元帅,天庭军事统帅，玲珑宝塔是其标志性法宝
nezha,哪吒,lijing,lingxiao,凌霄宝殿,天庭,天仙·武将,三坛海会大神中坛元帅,天庭最强少年战神，三头六臂
erlang,二郎神杨戬,wujiang,lingxiao,凌霄宝殿,天庭,天仙·战将,二郎显圣真君·玉帝外甥,唯一能与悟空正面单挑不落下风的战将
wanglinguan,王灵官,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·佐使,佑圣真君佐使,仅是佐使却在大闹天宫时于灵霄殿外挡住悟空
tianwang,天王殿,,tianwang,天王殿,天庭,地点,南天门内要隘,南天门内要隘，四大天王率部镇守
tianwang_lijing,托塔天王李靖,tianwang,tianwang,天王殿,天庭,天仙·武将,降魔大元帅,天庭军事统帅
tianwang_nezha,哪吒,tianwang_lijing,tianwang,天王殿,天庭,天仙·武将,中坛元帅,天庭最强少年战神
zhence,侦测系统,tianwang,tianwang,天王殿,天庭,天仙·侦测,侦测系统,情报侦察
qianliyan,千里眼,zhence,tianwang,天王殿,天庭,天仙·侦测,千里眼·高明,能看千里之外
shunfenger,顺风耳,zhence,tianwang,天王殿,天庭,天仙·侦测,顺风耳·高觉,能听千里之外
qixiang,气象系统,tianwang,tianwang,天王殿,天庭,天仙·天象,风雨雷电,天庭气象体系
leigong,雷公,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管雷电,天庭风雨雷电体系的神将
dianmu,电母,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管闪电,天庭风雨雷电体系的女神
fengbo,风伯,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管风,掌管天下之风
yushi,雨师,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管雨,掌管天下之雨
guanghan,广寒宫,,guanghan,广寒宫,天庭,地点,月宫仙境,月宫仙境，传说为嫦娥所居
taiyin,太阴星君,guanghan,guanghan,广寒宫,天庭,天仙·星君,月宫之主·嫦娥,月宫之主
zhubajie_guanghan,猪八戒,taiyin,guanghan,广寒宫,人间,净坛使者,原天蓬元帅,原天蓬元帅，因醉酒调戏嫦娥被贬
chijiao,赤脚大仙,guanghan,guanghan,广寒宫,天庭,天仙,赤脚行走·性格随和,天庭中性格随和的神仙
lingyan,凌烟阁,,lingyan,凌烟阁,天庭,地点,云上琼楼玉宇,东胜神洲一侧缥缈仙凡交界的宫阙
taibai_lingyan,太白金星,lingyan,lingyan,凌烟阁,天庭,天仙·文臣,玉帝殿前文臣,天庭情报总管
