recordId,name,parentRecordId,rank,faction,title,desc
changan,长安,,地点,人间,大唐国都,大唐国都，玄奘受命西行出发之地
taizong,唐太宗李世民,changan,人间·帝王,人间,大唐天子,因泾河龙王之事游地府
tangseng_changan,唐僧（玄奘）,taizong,人间·圣僧,人间,金蝉子转世·大唐圣僧,取经人
wukong_changan,孙悟空,tangseng_changan,斗战胜佛,人间,齐天大圣,大徒弟
zhubajie_changan,猪八戒,tangseng_changan,净坛使者,人间,原天蓬元帅,二徒弟
shaseng_changan,沙僧（沙悟净）,tangseng_changan,金身罗汉,人间,原卷帘大将,三徒弟
bailongma_changan,白龙马,tangseng_changan,八部天龙,人间,西海三太子,坐骑
guanyin_changan,观音菩萨,changan,佛教·菩萨,灵山,南海观世音,点化取经团队
jinghe,泾河龙王,changan,龙族,龙宫,泾河龙神,因与袁守诚打赌被斩首
yanluowang_changan,阎罗王,changan,地府·第五殿,地府,掌管叫唤大地狱,十殿阎王中最著名
caiguan_changan,判官崔玏,changan,地府·文官,地府,地府判官,修改唐太宗寿命
